Date;Feed Time;Come Back to Eat;Food Type;Brand;Description;Amount(g);Left Amount(g);Total Ate Amount(g);Hungry;Love;Result;Note;Weight(kg)
2024-03-27;00:40;9:20, 9:40, 15:28, 18:18;Wet;金湯;愛貓湯罐 白身鮪魚&雞肉;80.0;5.2;74.8;🔺 No, not really. Ate A Little;💕 Love it So Much;🔺 - 💕;2/28 => 5.05kg/(目標) 220g濕食/3:30 有咬人,但只持續5-10分鐘左右/在走廊等, 但罐頭一放下去, 馬上跑過來/seed's 愛貓湯罐, 一開始有吃但沒吃很多, 來回吃了超過一半;
2024-03-27;00:40;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;20.4;20.4;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-03-27;00:40;-;Kibble;本牧;非籠飼育雞;5.7;5.7;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-03-27;00:40;-;Freeze-Dried;zimple;呼嚕凍乾 雞肉;4.8;0.0;4.8;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-03-27;10:30;19:02, 19:36, 20:58;Wet;喵樂;喵罐 嫩雞鮪魚燒;160.0;89.5;70.5;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-03-27;10:30;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;45.7;14.6;31.1;❌ No, not interested;💕 Love it So Much;❌ - 💕;;
2024-03-27;10:30;-;Kibble;本牧;非籠飼育雞;10.9;10.9;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-03-28;00:40;9:36, 10:17;Wet;nature 養生湯罐;雞肉+鮭魚;80.0;35.2;44.8;💖 Yes, eat right away;🔺 So So;💖 - 🔺;3:30有抓人一次, 起身包紮傷口後, 關房門/5:30 再跑來咬人, 一樣起身關房門/7:30 在旁邊喵喵叫, 有咬一下;
2024-03-28;00:40;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;15.7;11.3;4.4;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-03-28;00:40;-;Kibble;本牧;非籠飼育雞;4.8;4.8;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-03-28;10:30;19:06, 20:33;Wet;喵樂;喵罐 鮭魚鮪魚燒;160.0;79.8;80.2;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-03-28;10:30;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;36.7;19.3;17.4;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-03-28;10:30;-;Kibble;天然密碼;無穀鮭魚 鯡魚和曼哈頓魚;5.0;5.0;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-03-28;10:30;-;Freeze-Dried;zimple;呼嚕凍乾 雞肉;8.4;0.0;8.4;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
